"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Taywan Taylor / Ten / WR","318","11","FA","45"
"Ryan Griffin / NYJ / TE","319","4","FA","45"
"Jarius Wright / Car / WR","320","7","FA","45"
"Torrey Smith / Car / WR","321","7","FA","44"
"Tim Patrick / Den / WR","322","10","FA","44"
"Geoff Swaim / Jax / TE","323","10","FA","43"
"Frank Gore / Buf / RB","324","6","FA","42"
"Miles Boykin / Bal / WR","325","8","FA","42"
"Tyler Higbee / LAR / TE","326","9","FA","41"
"Jonnu Smith / Ten / TE","327","11","FA","41"
"Alfred Blue / Jax / RB","328","10","FA","40"
"Travis Benjamin / LAC / WR","329","12","FA","40"
"Ricky Seals-Jones / Ari / TE","330","12","FA","39"
"Rashard Higgins / Cle / WR","331","7","FA","39"
"Allen Hurns / Mia / WR","332","5","FA","38"
"Taysom Hill / NO / QB","333","9","FA","38"
"Justice Hill / Bal / RB","334","8","FA","38"
"Jordan Thomas / Hou / TE","335","10","FA","37"
"A.J. Brown / Ten / WR","336","11","FA","37"
"Chester Rogers / Ind / WR","337","6","FA","37"
"Garrett Celek / SF / TE","338","4","FA","37"
"Hakeem Butler / Ari / WR","339","12","FA","37"
"Justin Jackson / LAC / RB","340","12","FA","36"
"Tyler Kroft / Buf / TE","341","6","FA","36"
"DeAndre Washington / Oak / RB","342","6","FA","35"
"Chad Beebe / Min / WR","343","12","FA","35"
"Josh Hill / NO / TE","344","9","FA","34"
"Devin Singletary / Buf / RB","345","6","FA","34"
"Wayne Gallman Jr. / NYG / RB","346","11","FA","34"
"Dan Arnold / NO / TE","347","9","FA","33"
"Braxton Miller / Phi / WR","348","10","FA","0"
"Nick Vannett / Sea / TE","349","11","FA","32"
"Preston Williams / Mia / WR","350","5","FA","30"
"Terry McLaurin / Was / WR","351","10","FA","32"
"Zach Pascal / Ind / WR","352","6","FA","32"
"Keith Kirkwood / NO / WR","353","9","FA","32"
"Virgil Green / LAC / TE","354","12","FA","32"
"Anthony Firkser / Ten / TE","355","11","FA","31"
"Maurice Harris / NE / WR","356","10","FA","29"
"Trenton Cannon / NYJ / RB","357","4","FA","30"
"Dalton Schultz / Dal / TE","358","8","FA","29"
"Damien Harris / NE / RB","359","10","FA","29"
"Tajae Sharpe / Ten / WR","360","11","FA","29"
"Rhett Ellison / NYG / TE","361","11","FA","28"
"Demetrius Harris / Cle / TE","362","7","FA","28"
"Kyle Juszczyk / SF / RB","363","4","FA","27"
"James O'Shaughnessy / Jax / TE","364","10","FA","27"
"Darwin Thompson / KC / RB","365","12","FA","27"
"KeeSean Johnson / Ari / WR","366","12","FA","27"
"Tavon Austin / Dal / WR","367","8","FA","26"
"Cody Latimer / NYG / WR","368","11","FA","26"
"John Kelly / LAR / RB","369","9","FA","26"
"Zach Zenner / Det / RB","370","5","FA","26"
"Gary Jennings / Sea / WR","371","11","FA","25"
"Laquon Treadwell / Min / WR","372","12","FA","25"
"Darren Sproles / Phi / RB","373","10","FA","25"
"Alex Erickson / Cin / WR","374","9","FA","25"
"Richard Rodgers / Phi / TE","375","10","FA","23"
"Chase Edmonds / Ari / RB","376","12","FA","23"
"DeAndre Carter / Hou / WR","377","10","FA","23"
"Elijah McGuire / NYJ / RB","378","4","FA","22"
"Cairo Santos / TB / K","379","7","FA","22"
"Nick Boyle / Bal / TE","380","8","FA","21"
"Jake Kumerow / GB / WR","381","11","FA","21"
"Josh Adams / Phi / RB","382","10","FA","20"
"John Ursua / Sea / WR","383","11","FA","19"
"Mo Alie-Cox / Ind / TE","384","6","FA","18"
"Greg Joseph / Cle / K","385","7","FA","18"
"Russell Gage / Atl / WR","386","9","FA","18"
"Bilal Powell / NYJ / RB","387","4","FA","18"
"Jaron Brown / Sea / WR","388","11","FA","18"
"Damarea Crockett / Hou / RB","389","10","FA","18"
"Deon Cain / Ind / WR","390","6","FA","17"
"Justin Hardy / Atl / WR","391","9","FA","16"
"Dwayne Washington / NO / RB","392","9","FA","15"
"Vyncint Smith / Hou / WR","393","10","FA","14"
"Jace Sternberger / GB / TE","394","11","FA","14"
"Irv Smith Jr. / Min / TE","395","12","FA","13"
"Drew Sample / Cin / TE","396","9","FA","13"
"Dawson Knox / Buf / TE","397","6","FA","13"
"Andre Roberts / Buf / WR","398","6","FA","13"
"Kelvin McKnight / Den / WR","399","10","FA","12"
"Jacob Hollister / Sea / TE","400","11","FA","11"
"Josh Oliver / Jax / TE","401","10","FA","10"
"Marvin Hall / Chi / WR","402","6","FA","9"
"Darius Jennings / Ten / WR","403","11","FA","9"
"Jake Butt / Den / TE","404","10","FA","9"
"James Develin / NE / RB","405","10","FA","8"
"Troy Fumagalli / Den / TE","406","10","FA","8"
"Paul Perkins / NYG / RB","407","11","FA","8"
"Detrez Newsome / LAC / RB","408","12","FA","7"
